UWIDE_CATALOG"UNID"	"SUNY_ID"	"SUNY_ID_IMMUTABLE"	"IPEDS"	"DISC"	"NUM"	"DESCRIP"	"LONG_TITLE"	"SHORT_TITLE"	"MIN_CRED"	"MAX_CRED"	"SUNY_GE"	"CAT_YEAR"
"1662"	"148011"	"148011.2021"	"Broome"	"ADN"	"214"	"<b>The focus of this course is on the nursing care of persons who have actual/potential problems related to the health patterns of Cognitive/Perceptual and Coping/Stress.  Classroom theory and clinical practice integrate all eleven of Gordon's Functional Health Patterns.  Also integrated into this course are our beliefs about human caring, the nature of human beings, health and nursing.  The concepts of hierarchy of human needs and life-cycle are applied to the nursing care of persons with common health problems.  The nursing process is utilized as the modality through which critical thinking skills are applied in the delivery of care.  Emphasis is placed on health assessment, health promotion, health restoration, and health maintenance.  The student provides care to persons in specialty and general medical/surgical units, as well as community settings.  Students assume the roles of the Associate Degree nurse with increasing autonomy.</b><p>Prerequisite- Corequisite<br>>Prerequisites:  ADN 105 Meeting Human Needs I, ADN 106 Meeting Human Needs II, BIO 131 Anatomy & Physiology I, BIO 132 Anatomy & Physiology II, ENG 110 College Writing I, HST 210 Pharmacology, PSY 110 General Psychology, PSY 210 Developmental Psychology<br>PRIOR and Concurrent:  CLT 208 Pathogenic Microbiology and CLT 209 Pathogenic Microbiology Laboratory or BIO 150 General Microbiology</p><p>Credits: 6.5<br>Hours: 4 Class Hours, 1 Laboratory Hours, 6 Clinical Hours per week for 15 weeks<br>Course Profile<br>Learning Outcomes of the Course:</p><p>Upon completion of ADN 214, the student will practice as a caregiver who demonstrates more advanced competency in the roles of the nurse.  <br>When caring for persons experiencing disruptions in Cognitive/Perceptual, and Coping/Stress, the student will:</p><p>1. Demonstrate accountability within the legal ethical and regulatory framework of nursing.<br>2. Appraise therapeutic communication techniques to meet patient and family needs.<br>3. Evaluate patients across the life cycle with focus on patients experiencing disruptions in neurosensory function and patients with neoplastic disorders.<br>4. Adapt interventions to provide coordinated, safe and culturally appropriate care.<br>5. Utilize the nursing process to evaluate clinical decisions involving patients, family, support systems and community groups.<br>6. Implement evidence-based teaching plans specific to clients experiencing disruptions in neurosensory function and with neoplastic disorders.<br>7. Collaborate with patient, family and health care team to creatively solve problems.<br>8. Supervise activities of assistive personnel.<br>9. Maintain safety and asepsis in providing care to patient and family.</p>"	"Meeting Human Needs VI"	"Meeting Human Needs VI"	"0"	"7"	"Not Applicable"	"2021"
"1663"	"148012"	"148012.2021"	"Broome"	"ADN"	"298"	"The purpose of this course is to facilitate the transition of returning, transfer, and advanced placement students into the nursing program.  The course focuses on the nursing department philosophy, the conceptual framework, the nursing process, and the use of the course syllabi.  Students are required to successfully demonstrate selected nursing skills to pass the course.  In order to be successful in this course, independent study and skills review are strongly recommended.Students must have met requirements for transfer or have passed the required challenge examination for advanced placement."	"Nursing Seminar"	"Nursing Seminar"	"1"	"1"	"Not Applicable"	"2021"
"1664"	"148013"	"148013.2021"	"Broome"	"ADN"	"299"	"<b>An individual student project in the nursing field which is beyond the scope of requirements of the courses offered by the department conducted under the direction of a nursing faculty member and approved by the department chairperson.  Independent study is available to students who have completed one semester of Professional Nursing Courses.</p><p>Prerequisite- Corequisite<br>Prerequisite:  ADN 105 Meeting Human Needs I</p><p>Credits: 1-7<br>Hours: 1-4 Class Hours, 0-6 Laboratory Hours, 0-6 Clinical Hours</p><p>Course Profile<br>Learning Outcomes of the Course:<br>Upon successful completion of this course the student will be able to:</p><p>1. Demonstrate the ability to work independently to achieve a goal.<br>2. Demonstrate proficiency in the specific area of study.</p>"	"Independent Study"	"Independent Study"	"0"	"7"	"Not Applicable"	"2021"
"1665"	"148014"	"148014.2021"	"Broome"	"ANT"	"111"	"<b>Introduction to the study of culture as the behavioral adaptation unique to human societies.  Cultural characteristics shared by all humans and major variations found among specific groups.  Explanations for rules of social interaction in common activities, the social functions of institutions, language in a culturally defined system of communication, modernization in our own and third world societies.</b><p>Credits: 3<br>Hours: 3 Class Hours</p><p>Course Profile<br>Learning Outcomes of the Course:<br>Upon successful completion of this course the student will be able to:</p><p>1. Identify the major theories used by cultural anthropologists.<br>2. Identify the major research methods used by cultural anthropologists.<br>3. Analyze social life using at least one of the major theories used by cultural anthropologists.<br>4. Discuss social/human diversity issues related to cultural anthropology.</p>"	"Cultural Anthropology"	"Cultural Anthropology"	"3"	"3"	"Social Sciences"	"2021"
"1666"	"148015"	"148015.2021"	"Broome"	"ANT"	"112"	"<b>An introduction to current archaeological issues, methods, and theories.  The nature of archaeological data and the means by which they are gathered, analyzed, dated, and interpreted, will be considered by reviewing current research on both prehistoric and historic sites.  Scientific methods of research formulation, survey, excavation and analysis will be emphasized in both the laboratory and lecture. </p><p>Credits: 4<br>Hours: 3 Class Hours, 3 Laboratory Hours</p><p>Course Profile<br>Learning Outcomes of the Course:<br>Upon successful completion of this course the student will be able to:</p><p>1. Identify the major theories used by archaeologists.<br>2. Define major archaeological concepts.<br>3. Identify the major scientific methods used by archaeologists.<br>4. Analyze archaeological data using one or more of the models employed by archaeologists.</p>"	"Introduction to Archaeology"	"Introduction to Archaeology"	"0"	"4"	"Natural Sciences"	"2021"
"1667"	"148016"	"148016.2021"	"Broome"	"ANT"	"113"	"<p>An introduction to the biological and evolutionary history of humans.  The course will consider basic concepts of evolutionary theory and human genetics, the fossil record for human evolution, the behavior and ecology of living non-human primates, and human population biological adaptation and diversity.  Laboratory will include study of primate evolution, human anatomy, and DNA analysis.  <u>This course may be used to fulfil the natural science general education requirement.</u></p><p>Credits: 4<br>Hours: 3 Class Hours, 3 Laboratory Hours</p><p>Course Profile<br>Learning Outcomes of the Course:<br>Upon successful completion of this course the student will be able to:</p><p>1. Identify the major theories used by biological anthropologists.<br>2. Define major biological anthropological concepts.<br>3. Identify the major scientific methods used by biological anthropologists.<br>4. Analyze bio-anthropological data using one or more of the models employed by biological anthropologists.</p>"	"Introduction to Biological Anthropology"	"Intro Biological Anthropology"	"0"	"4"	"Natural Sciences"	"2021"
"1668"	"349373"	"349373.2021"	"Broome"	"ANT"	"200"	"<b>An interdisciplinary and cross-cultural introduction to the perspectives and core concerns pertaining to gender, sexuality and women's studies.  Students will explore how gender is socially constructed in global societies and how gender orders our everyday lives-our sense of self, our friendships, romances, conversations, clothing, body image, entertainment, work, sexuality, and parenthood.  The primary goals of this course are to familiarize students with core theories and qualitative and quantitative methods of social science disciplines such as sociology and anthropology as applied in women's and gender studies, both historical and contemporary.</b><p>Credits: 3<br>Cross-listed: SOC 200<br>Hours: 3 Class Hours</p><p>Course Profile<br>Learning Outcomes of the Course:<br>Upon successful completion of this course the student will be able to:</p><p>1. Understand and engage with central debates in the field of women's, gender and sexuality studies.<br>2. Define and apply basic terms and concepts central to this field of scholarly study.<br>3. Apply the major theoretical approaches used by sociologists and anthropologists for the analysis of issues relevant to women's, gender and sexuality studies.<br>4. Identify themes related to women's, gender and sexuality across cultures within various historical periods.<br>5. Communicate effectively about women's, gender and sexuality issues in written word and oral speech based on scholarly sources.<br>6. Identify the steps in the scientific method and research methods used by sociologists and anthropologists to collect, analyze and report the empirical research that contributes to the scholarly literature relevant to women's, gender and sexuality studies.</p>"	"Women, Gender(s),and Sexuality"	"Women, Gender(s),and Sexuality"	"3"	"3"	"Social Sciences"	"2021"
"1669"	"357668"	"357668.2021"	"Broome"	"ANT"	"288"	"<b>An in-depth investigation of topics of special interest in anthropology.  Course will cover subjects beyond the scope of the normal course offerings.  Topics will vary depending on need and interest.</b><p>Credits: 3<br>Hours: 3 Class Hours</p><p>Course Profile<br>Learning Outcomes of the Course:<br>Upon successful completion of this course the student will be able to:</p><p>1. Locate information and evaluate it for validity and appropriateness.<br>2. Demonstrate an understanding of globalization and human/social diversity.<br>3. Use anthropological theory and method to analyze problems and develop solutions.</p>"	"Special Topics"	"Special Topics"	"3"	"3"	"Not Applicable"	"2021"
"1670"	"148018"	"148018.2021"	"Broome"	"ANT"	"299"	"<b>An individual student project in anthropology which is beyond the scope of requirements of the course offered by the department, conducted under the direction of a faculty member and approved by the department chairperson.</p><p>Prerequisite- Corequisite<br>Prerequisite:  3 Semester Hours in Anthropology</p><p>Credits: (1-3)</p><p>Course Profile<br>Learning Outcomes of the Course:</p><p>Course outcomes will be determined by the instructor with the approval of the department chair and Dean.</p>"	"Independent Study"	"Independent Study"	"1"	"3"	"Not Applicable"	"2021"
"1671"	"148019"	"148019.2021"	"Broome"	"ARA"	"101"	"<p>This is a comprehension-based foundation course with an emphasis on developing communicative strategies in Arabic.  The course introduces grammar and the skills of listening, reading, speaking, and writing and provides exposure to Arabic culture and peoples.  Students will study a wide range of subjects in class, using audio-visual as well as audio and written materials, to consolidate the use of the four communicative skills (reading, writing, speaking, and hearing).  Attention will be given to the mastering of the Arabic alphabet, Arabic pronunciation, basic grammatical structures in Arabic, and initial Arabic vocabulary.  Topics/skills covered at this level include communication in everyday situations (through role-play) and the comprehension of short, simple texts.</p><p>Credits: 4 <br> Hours: 4 Class Hours </p><b>Note: Appropriate course for beginners. Heritage speakers and native speakers of Arabic should not enroll in ARA 101. Students with 3 or more years of high school Arabic should contact the Department Chair to discuss proper placement.</b><p>Course Profile<br>Learning Outcomes of the Course:<br>Upon successful completion of this course the student will be able to:</p><br>Write their names and make greetings in Arabic at the beginners level.<br>Use the present tense of simple verbs as well as articles, possessive and demonstrative adjectives, interrogative expressions, numbers, and expressions for time and weather.<br>Describe simple actions in the present.<br>Write simple sentences based on addressing chapter topics and vocabulary.<br>Formulate simple questions and answers in Arabic.<br>Recognize gender and plural inflection in Arabic.<br>Speak about themselves in short sentences in Arabic.<br>Tell time and count to a hundred in Arabic.<br>Read newspaper headlines in Arabic.<br>Discuss the ethnic, linguistic and religious diversity of Arabic culture.</p>"	"Beginners Arabic I"	"Beginners Arabic I"	"4"	"4"	"Foreign Language"	"2021"
"1672"	"148020"	"148020.2021"	"Broome"	"ARA"	"102"	"<p>This is the second part of the first-year language sequence and continues to build on the skills of listening, reading, speaking and writing acquired in ARA 101.  There will be an emphasis on the ability to use the target language to accomplish basic communicative tasks.  Students should expect to be immersed in the language.  English will be used at a minimum.  The course promotes understanding and appreciation of the Arabic culture.</p><p>Appropriate course for beginners.  Heritage speakers (students who are exposed to a language other than English at home) and native speakers of Arabic should not enroll in ARA 102.</p><p>Prerequisite- Corequisite<br>Prerequisite:  ARA 101 Beginning Arabic I</p><p>Credits: 4<br>Hours: 4 Lecture Hours</p><p>Course Profile<br>Learning Outcomes of the Course:<br>After successful completion of this course the student will be able to:</p><p>1. Describe family, activities and events in Arabic.<br>2. Use the past tense of simple verbs as well as use articles, possessive and demonstrative adjectives, interrogative expressions, and time-related  concepts including days, months and holidays.<br>3. Describe simple actions in the past.<br>4. Express basic needs in the spoken and written language.<br>5. Formulate questions and statements in the spoken and written language.<br>6. Recognize gender and plural inflections in Arabic.<br>7. Speak about themselves and others in compound sentences.<br>8. Demonstrate comprehension of sentence-length statements or questions in a limited number of content areas.<br>9. Interpret the written target language in texts that are linguistically non-complex.<br>10. Have an understanding of the social life and cultures of the Arab world.</p>"	"Beginning Arabic II"	"Beginning Arabic II"	"0"	"4"	"Foreign Language"	"2021"
"1673"	"148021"	"148021.2021"	"Broome"	"ART"	"102"	"<p>An overview of Western Art and Architecture from the 25,000 B.C.E. to about 1350 C.E.  Study of objects, sculptures, paintings, ceramics, and architecture with a focus on the social, religious, political, and philosophical influences that affected cultural development in the Ancient World.  Slide lecture format.</p><p>Credits: 3<br>Hours: 3 Class Hours</p><p>Course Profile<br>Learning Outcomes of the Course:<br>Upon successful completion of this course the student will be able to:</p><p>1. Broaden the student's knowledge of how works of art and architecture reflect and relate to the natural and built environments.<br>2. Have developed analytical approaches to discussing the cultures of the world, and their artistic creations.  The students will use writing as a critical analysis tool for the interpretation of works of art.<br>3. Have developed writing skills through a series of creative exercises in research and person expression.  The goal of the writing will be to create a substantial research project that focuses on multiple aspects of a single work of art.  The Writing Center in the Library is available to assist any student with the process of completing the assignments.<br>4. Correctly identify a broad range of art production, and relate that art to the social, political, economic and philosophical context of its time.</p>"	"History of Western Art I (WE)"	"History of Western Art I (WE)"	"3"	"3"	"Humanities, The Arts"	"2021"
"1674"	"148022"	"148022.2021"	"Broome"	"ART"	"103"	"<p>Survey of the visual arts in Western culture from the early Renaissance until today, revealing the ways that the world and the thoughts of men and women have changed during this period, and how evolving ideas are reflected in works of art.  Slide lecture format.</p><p>Credits: 3<br>Hours: 3 Class Hours</p><p>Course Profile<br>Learning Outcomes of the Course:<br>Upon successful completion of this course the student will be able to:</p><p>1. Broaden the student's knowledge of how works of art and architecture reflect and relate to the natural and built environments.<br>2. Have developed analytical approaches to discussing the cultures of the world, and their artistic creations.<br>3. Have developed writing skills through a series of creative exercises in research and personal expression.  The goal of the writing will be to create a substantial research project that focuses on multiple aspects of a single work of art.<br>4. Correctly identify a broad range of art production, and relate that art to the social, political, economic and philosophical context of its time.</p>"	"History of Western Art II (WE)"	"History of Western Art II (WE)"	"3"	"3"	"Humanities, The Arts"	"2021"
"1675"	"148023"	"148023.2021"	"Broome"	"ART"	"104"	"<p>History of Asian Art is appropriate for all students who are interested in the cultural traditions and artistic expressions of Asian countries.  This course presents a general survey of the development of Asian Art and Architectural forms in the Far East including India, Japan and China with supplementary study of Korea, Tibet, Indonesia, Burma and Thailand.  Cultural traditions, especially Buddhism introduced.  Prior experience in art history is not necessary.  The format involves slide lecture, readings and class discussion.</p><p>Credits: 3<br>Hours: 3 Class Hours</p><p>Course Profile<br>Learning Outcomes of the Course:<br>Upon successful completion of this course the student will be able to:</p><p>1. Broaden the student's knowledge of how works of art and architecture reflect and relate to the natural and built environments.<br>2. Have developed analytical approaches to discussing cultures of the world, and their artistic creations.<br>3. Have developed writing skills through the development of a research project focusing on a particular topic in Asian Art.<br>4. Identify a broad range of artistic production, and to relate that art to the social, political, philosophical, and economic context of its time.</p>"	"History of Asian Art"	"History of Asian Art"	"3"	"3"	"Humanities, The Arts"	"2021"
"1676"	"148024"	"148024.2021"	"Broome"	"ART"	"105"	"<p>Introduction to design involves the student with investigation of visual perception and organization.  Training the eye to become sensitive to design elements and principles is emphasized.  Critical analysis of point, line, shape, value, texture, and color; and balance, proportion, scale, rhythm, and unity.  The student will become familiar with a variety of media and intellectual comprehension of text, lecture, and visual examples.  Class projects will focus on learning design methods that are based on logic and expression, to create spatial illusion within a two-dimensional context.</p><p>Credits: 3<br>Hours; 2 Class Hours, 2 Studio Hours</p><p>Course Profile<br>Learning Outcomes of the Course:<br>Upon successful completion of this course the student will be able to:</p><p>1. Apply design theory in order to solve a design problem independently.<br>2. Create a unified, well balanced design that serves as the foundation for the development of a more advanced fine or applied art compositional study.<br>3. Develop a design that contains elements that communicate symbolically and convey a sense of emotion.<br>4. Devise a design within a defined amount of time through adjusting one's creative process in order to address the specific needs of the project.</p>"	"Introduction to Two-Dimensional Design"	"Intro Two Dimensional Design"	"0"	"3"	"The Arts"	"2021"
"1677"	"148025"	"148025.2021"	"Broome"	"ART"	"106"	"<p>Developing sensitivity and awareness of our spatial environment is the object of this course.  Aesthetic and functional elements of three-dimensional design are explored.  Through reading, projects, lectures and field trips, techniques are explored to assist in heightening awareness.  This enables the student to understand the functional and aesthetic examples of the three-dimensional environment.  Emphasis is placed on studio projects.</p><p>Credits: 3<br>Hours: 2 Class Hours, 2 Studio Hours</p><p>Course Profile<br>Learning Outcomes of the Course:<br>Upon successful completion of this course the student will be able to:</p><p>1. Demonstrate the understanding of basic construction methods in various media through the creation of integrated and structurally sound three-dimensional work.<br>2. Apply the design process of using the elements and principles of design to create forms that are aesthetically appealing, functional, thought-provoking, well-constructed and expressive.<br>3. Articulate verbally and in writing one's creative intentions to others.</p>"	"Introduction to Three-Dimensional Design (WE)"	"Intro 3 Dimensional Design(WE)"	"0"	"3"	"The Arts"	"2021"
"1678"	"148026"	"148026.2021"	"Broome"	"ART"	"107"	"<b>An introduction to the complex language of color including the investigation of additive and subtractive systems in traditional and electronic applications. Students gain practical knowledge and visual sensitivity giving them self-confidence in applying color to graphic presentations and three-dimensional forms. Emotional, symbolic, and cultural significance of color is explored through visual examples in historical and contemporary contexts. Knowledge applicable to painting, printmaking, illustration, website design, fashion design, interior design, landscape design, architecture, sculpture, and product design Coursework includes experimentation with various materials, lectures, discussions, and presentations.</b><br>"	"Color Theory"	"Color Theory"	"0"	"2"	"Not Applicable"	"2021"
"1679"	"148027"	"148027.2021"	"Broome"	"ART"	"108"	"<p>Overview of 40 centuries of building, beginning in Ancient Egypt. The student follows the political technological, religious and social movements that have influenced the major design styles, outstanding architects, and designer of each era through the Gothic period.</p><p>Credits: 3<br>Hours: 3 Class Hours</p><p>Course Profile<br>Learning Outcomes of the Course:<br>Upon successful completion of this course the student will be able to:</p><p>1. Identify major architectural monuments throughout historical periods covered in class.<br>2. Identify and label specific characteristics of said monuments and periods, employing appropriate vocabulary.<br>3. Address the social, historical, political and/or economic contexts in which architectural constructions are produced.</p>"	"History of Architecture I"	"History of Architecture I"	"3"	"3"	"Humanities, The Arts"	"2021"
"1680"	"148028"	"148028.2021"	"Broome"	"ART"	"109"	"<b>Overview of the history of buildings from the Early Renaissance to the present. Students achieve an historical perspective on and understanding of the development and evolution of architectural design.</b><br>"	"History of Architecture II"	"History of Architecture II"	"3"	"3"	"Humanities, The Arts"	"2021"
"1681"	"148029"	"148029.2021"	"Broome"	"ART"	"110"	"<b>Art of the late 19th century. Impressionism (circa 1870) to Cubism and other forms of abstract art Panorama of 20th century visual movements including Futurism, Surrealism, Abstract Expressionism Pop Art, and Post-Modernism. Slide/lecture format and field trips.</b><br>"	"Modern Art"	"Modern Art"	"3"	"3"	"Humanities, The Arts"	"2021"
"1682"	"148030"	"148030.2021"	"Broome"	"ART"	"111"	"<p>Introduction to the development of style in fabric, furniture and accessories for the interior from 1600 to the present.  Emphasis will be placed on the history of American interiors.  Required for interior design students, recommended for students in Art and Design and as an elective for students interested in history or American Studies.</p><p>Credits: 3<br>Hours: 3 Class Hours</p><p>Course Profile<br>Learning Outcomes of the Course:<br>Upon successful completion of this course the student will be able to:</p><p>1. Identify periods in western furniture and decorative elements.<br>2. Understand of causes in stylistic change.<br>3. Understand the social, economic, political and technological context of American culture from 1600 to the present.</p>"	"History of Decorative Arts:1600-Present"	"Hist Decorative Arts 1600 on"	"3"	"3"	"The Arts"	"2021"
"1683"	"148031"	"148031.2021"	"Broome"	"ART"	"112"	"<p>Basics of camera design and operation, plus the fundamentals of photographic visualization and composition; line, form, color, light shadow.  Darkroom procedures, film processing, basic printmaking, selecting printing techniques.  (Students can sign-out cameras and other supplies from the Communications Department thus reducing the overall costs for photo supplies.)</p> <p>Credits: 3<br>Cross-listed: COM 112<br>Hours: 2 Class Hours, 2 Laboratory Hours</p><p>Course Profile<br>Learning Outcomes of the Course:<br>Upon successful completion of this course the student will be able to:</p><p>1. Control camera, composition, and photographic approach (sharp focus, shadow D.O.F., blur motion, frozen image, etc.)<br>2. Make choices regarding film, paper, lens, filters and light to achieve a good quality photograph as a final product.</p>"	"Beginning Photography"	"Beginning Photography"	"0"	"3"	"The Arts"	"2021"
"1684"	"148032"	"148032.2021"	"Broome"	"ART"	"113"	"<p>Survey of modern design examines changing developments in graphics, industrial design, architecture and decorative arts from 1851 to the present.  Beginning with The Exhibition of Art and Industry in London and concluding with postmodernism, mass culture and the role consumption plays in design will be explored.  The course focuses on design as a creative activity influenced by technology, economics and social history.</p>  <p>Credits: 3<br>Hours: 3 Class Hours</p><p>Course Profile<br>Learning Outcomes of the Course:<br>Upon successful completion of this course the student will be able to:</p> <p>1. Identify exemplars of Art Nouveau, German Bauhaus, Russian Constructivism, Art Deco, Swiss Movement, Modernism (or Modern Movement sometimes known as New York school) and Post-Modernism.<br>2. Describe the impact that technological, political, economical, social and cultural influences had on the development of designs.<br>3. Explain the relationship between design, mass-consumption, production, and marketing.</p>"	"History of Modern Design"	"History Modern Design"	"3"	"3"	"The Arts"	"2021"
"1685"	"148033"	"148033.2021"	"Broome"	"ART"	"114"	"<b>A chronological survey of the representation of the human body in the production of art from antiquity to the present. Emphasis is on the belief systems of specific cultures, and how those beliefs influence self-perception, and self-expression. Students will study basic human anatomy looking closely at the rise of anatomical science and its influence upon Renaissance and Baroque art. The current use and misuse of the human body in media is also explored. Format involves slide lecture, readings, and class discussion.</b><br>"	"The History of Art and the Human Figure"	"Hist Art and Human Figure"	"3"	"3"	"Not Applicable"	"2021"
"1686"	"148034"	"148034.2021"	"Broome"	"ART"	"115"	"<p>Emphasis on a series of open-ended interrelated problems dealing with visual language and its vocabulary, and organization.  Drawing problems will intensify the student's perception and comprehension of the elements and principles of design including point, line, shape, tone, texture, and color; and balance, proportion, scale, rhythm, and unity in composition.  Student's perception and comprehension of light, space, and form will be given special emphasis.  Format involves intensive instruction and demonstrations in charcoal, pencil, pen and ink, and mixed media as a means to personal investigation, understanding, and expression.  Subjects include landscape, figure, and still-life.  Various historical models will be studied through text and visual examples.  Students are encouraged to develop their own style and viewpoint through discussion of art criticism.</p><p>Credits: 3<br>Hours: 6 Studio Hours</p><p>Course Profile<br>Learning Outcomes of the Course:<br>Upon successful completion of this course the student will be able to:</p><p>1. Create a drawing that contains the formal art elements, and is composed through applying the formal design principles.<br>2. Devise drawings with a variety of media, such as graphite, charcoal, conte' crayon and ink.<br>3. Produce drawings through a variety of techniques that contain expression.</p>"	"Beginning Drawing"	"Beginning Drawing"	"3"	"3"	"The Arts"	"2021"
"1687"	"148035"	"148035.2021"	"Broome"	"ART"	"116"	"<p>This course is designed to investigate painting as an expressive medium rooted in both traditional and contemporary views of fine art painting.  It also serves to expand student's knowledge regarding the role of fine art painting within today's art world.  The emphasis is on the tradition of observational painting (painting from life) achieved through regular painting assignments, text and critiques.  Personal approaches to specific problems are encouraged and explored through classroom projects.  Areas of study include still life, figure and portrait.</p><p>Prerequisite- Corequisite<br>Prerequisite:  ART 115 Drawing</p><p>Credits: 3<br>Hours: 6 Studio Hours</p><p>Course Profile<br>Learning Outcomes of the Course:<br>Upon successful completion of this course the student will be able to:</p><p>1. Implement classical oil painting concepts, such as chiaroscuro, color theory, and composition.<br>2. Solve an oil painting problem through research and intellectual inquiry.<br>3. Utilize historical content and traditional oil painting tools and techniques to successfully create original works of art.</p>"	"Painting I"	"Painting I"	"3"	"3"	"The Arts"	"2021"
"1688"	"148036"	"148036.2021"	"Broome"	"ART"	"117"	"<b>Acquaints art students who are taking three-dimensional design or Sculpture with basic techniques and safety measures involved in working with various metals. Students will be introduced to welding, casting, and forging techniques.</b><br>"	"Basic Metal Working Techniques"	"Basic Metal Working Techniques"	"0"	"2"	"Not Applicable"	"2021"
"1689"	"281375"	"281375.2021"	"Broome"	"ART"	"118"	"<p>This course is an Introduction to Digital Photography.  The purpose of this course is to develop proficiency in digital photography and the ?digital darkroom"" through projects in digital photography and Adobe Photoshop.  It is suggested that students have prior experience working with Adobe Photoshop, but it is not required.  Students will learn about: color temperature, exposure, and camera controls (depth of field; shutter speed), creative and technical applications relating to composition and aesthetics in photography, photographic representation, electronic publishing, digital output, portfolio preparation, and careers in digital photography.  Students will be encouraged to use the medium of digital photography to develop a personal vision as evidenced in his or her final portfolio.</p><p>Credits: 3<br>Hours: 2 Class Hours, 2 Laboratory Hours</p><p>Course Profile<br>Learning Outcomes of the Course:<br>Upon successful completion of this course the student will be able to:</p><p>1. Demonstrate and utilize the proper controls over tools in relation to photographic camera equipment, computer hardware and digital editing software.<br>2. Demonstrate understanding of the principles of design and artistry throughout the use of color, light, composition and balance.<br>3. Develop and utilize through photographic assignment appropriate photo specific terminology and skills to make a visual interpretation through keeping an on-line visual journal.<br>4. Utilize the ?digital darkroom"" as it pertains specifically to web usage techniques. (i.e. blog creation and re-sizing for different web formats)</p>"	"Introduction to Digital Photography"	"Intro to Digital Photography"	"0"	"3"	"The Arts"	"2021"
"1690"	"286235"	"286235.2021"	"Broome"	"ART"	"119"	"<p>The Art of Science is an introductory course that explores the fundamentals of scientific and medical illustration.  Learn how to visually investigate and represent plants, animals, microbes and insects while you heighten your appreciation and understanding of the natural world.  Create simple diagrams of plants and anatomical structures, as you delve into the mysterious worlds of botany, anatomy, physiology and entomology.  Learn how to make colorful and informative visuals that could be used in textbooks, journals, museum displays, web sites, videos, educational software, or anatomical diagrams for medical professionals.</p><p>Credits: 3<br>Cross-listed: BIO 119<br>Hours: 2 Class Hours, 3 Studio Hours</p><p>Course Profile<br>Objective of the Course:</p><p>1.  Develop an appreciation for the relationship of art and science<br>2.  Synthesize information, think critically and solve critical thinking problems; write clear, well organized essays or research papers that demonstrate synthesis.<br>3.  Apply principles of scientific inquiry, differentiate a theory from a hypothesis, and differentiate fact from opinion in regard to biological sciences.<br>4.  Define and correctly use scientific terminology in regard to biological organisms and processes.<br>5.  Work well independently and in small groups.  Show self-direction and motivation, and contribute to group work.<br>6.  Students will demonstrate the ability to acquire and communicate scientific data, ideas, and interpretations through written, oral, and visual means.<br>7.  Students will produce written reports that clearly and accurately describe and illustrate the background, methods, data, and interpretations relevant to a particular project.<br>8.  Maintain a sketchbook/journal documenting the creative process.<br>9.  Establish a drawing process.</p><p>Learning Outcomes of the Course:<br>Upon successful completion of this course the student will be able to:</p><p>1.  Articulate and appreciate the fundamental relationships between botany, zoology, anatomy, physiology, microbiology and entomology.<br>2.  Reflect on the history of scientific illustration and the shift from classical scholarship to direct observation.<br>3.  Describe several basic principles associated with botany, zoology, anatomy, physiology, microbiology and entomology.<br>4.  Discuss relationships between art and science, including their personal relections about the value of exploring these relationships for both artists and scientists.<br>5.  Explain essential considerations for making decisions about effective illustration (i.e., choice of medium, scaling, form, value, scientist goals) and provide constructive critique of illustrations.<br>6.  Create detailed and realistic illustrations in a range of media that clearly convey essential scientific information about the subjects.<br>7.  Implement the formal visual communication elements of line, shape, value, texture and space.<br>8.  Appreciate and implement several visual communication mediums, including, but not limited to, pencil, ink, watercolor and digital drawing.<br>9.  Understand copyright requirements, archival techniques, transfer methods, typography and techniques for presenting information.<br>10.  Prepare a portfolio of their work.<br>11.  Produce written reports that clearly and accurately describe and illustrate the background, methods, data, and interpretations relevant to a particular project.<br>12.  Maintain a"	"Art of Science"	"Art of Science"	"0"	"3"	"The Arts"	"2021"
"1691"	"148037"	"148037.2021"	"Broome"	"ART"	"120"	"<b>This course is designed for students to realize the creative process that takes place in the art making of sculpture. Students will be introduced to various fundamental techniques and treatment of sculptural materials. Throughout the course, emphasis will be placed on experimentation, reading, and discussion. This course will ultimately assist the student to further develop an artistic direction in three dimensional studies.</b><br>"	"Beginning Sculpture"	"Beginning Sculpture"	"3"	"3"	"Not Applicable"	"2021"
"1692"	"148038"	"148038.2021"	"Broome"	"ART"	"125"	"<p>The study of Visual Communication theory relating to applied arts fields such as advertising and editorial design, animation, gaming, and web design.  Students are introduced to vector and raster graphic programs on Macintosh computers, and learn how to develop initial thumbnail sketches into final design comprehensives.  Other topics include digital photography, scanning, image manipulation, color correction, and typography.</p><p>Prerequisite- Corequisite<br>Prerequisite:  ART 105 Introduction to Two-Dimensional Design, BIT 108 introduction to PC and Windows or equivalent.</p><p>Credits: 3<br>Cross-listed: COM 124<br>Hours: 2 Class Hours, 2 Laboratory Hours</p><p>Course Profile<br>Learning Outcomes of the Course:<br>Upon successful completion of this course the student will be able to:</p><p>1. Apply the principles of design to conceive a unified, well-balanced visual communications piece such as a poster, print media advertisement or logotype.<br>2. Develop a design using raster and vector software.<br>3. Describe one's creative process for designing a visual communications piece such as a product package, flyer or web banner.</p>"	"Introduction to Computer Graphics"	"Intro to Computer Graphics"	"0"	"3"	"The Arts"	"2021"
